"","w1","w2","w3","N"
"304","come","on","pperiod",2
"305","you've","got","to",2
"306","sstart","sstart","would",2
"307","sstart","would","you",2
"308","would","you","like",2
"309","our","friend","pperiod",2
"310","sstart","sstart","may",2
"311","sstart","may","i",2
"312","to","tell","you",2
"313","sstart","sstart","we",2
"314","the","city","pperiod",2
"315","city","pperiod","eend",2
"316","sstart","sstart","who",2
"317","return","to","the",2
"318","name","for","a",2
"319","man","pperiod","eend",2
"320","when","i","was",2
"321","i","was","a",2
"322","you","pperiod","i",2
"323","pperiod","i","believe",2
"324","in","ba","sing",2
"325","sstart","what","a",2
"326","this","afternoon","pperiod",2
"327","afternoon","pperiod","eend",2
"328","sstart","sstart","how",2
"329","a","pot","of",2
"330","pot","of","tea",2
"331","of","tea","qquestion",2
"332","love","pperiod","eend",2
"333","is","not","a",2
"334","from","the","vine",2
"335","the","vine","ccomma",2
"336","vine","ccomma","falling",2
"337","ccomma","falling","so",2
"338","falling","so","slow",2
"339","so","slow","pperiod",2
"340","slow","pperiod","like",2
"341","pperiod","like","fragile",2
"342","like","fragile","ccomma",2
"343","fragile","ccomma","tiny",2
"344","ccomma","tiny","shells",2
"345","tiny","shells","ccomma",2
"346","shells","ccomma","drifting",2
"347","ccomma","drifting","in",2
"348","drifting","in","the",2
"349","in","the","foam",2
"350","the","foam","pperiod",2
"351","foam","pperiod","little",2
"352","pperiod","little","soldier",2
"353","little","soldier","boy",2
"354","boy","ccomma","come",2
"355","ccomma","come","marching",2
"356","come","marching","home",2
"357","home","pperiod","brave",2
"358","pperiod","brave","soldier",2
"359","brave","soldier","boy",2
"360","boy","ccomma","comes",2
"361","ccomma","comes","marching",2
"362","comes","marching","home",2
"363","home","pperiod","eend",2
"364","sstart","with","a",2
"365","my","own","tea",2
"366","this","is","a",2
"367","sstart","sstart","did",2
"368","tea","shop","pperiod",2
"369","us","pperiod","eend",2
"370","what","it","is",2
"371","it","is","that",2
"372","is","that","you",2
"373","the","avatar's","bison",2
"374","your","own","destiny",2
"375","you","did","the",2
"376","did","the","right",2
"377","the","right","thing",2
"378","right","thing","ccomma",2
"379","me","pperiod","it",2
"380","as","i","can",2
"381","i","can","eexclamation",2
"382","can","eexclamation","eend",2
"383","the","earth","king",2
"384","destiny","is","a",2
"385","is","a","funny",2
"386","a","funny","thing",2
"387","funny","thing","pperiod",2
"388","help","pperiod","eend",2
"389","sing","se","pperiod",2
"390","i","think","you",2
"391","i","don't","know",2
"392","but","if","you",2
"393","zuko","ccomma","it's",2
"394","with","you","pperiod",2
"395","you","to","choose",2
"396","for","you","pperiod",2
"397","zuko","pperiod","it",2
"398","thank","you","ccomma",2
"399","you","ccomma","ming",2
"400","ccomma","ming","pperiod",2
"401","ccomma","you","have",2
"402","and","rest","pperiod",2
"403","sstart","you","know",2
"404","you","know","ccomma",2
"405","ccomma","destiny","is",2
"406","fire","nation","so",2
"407","re","ddash","conquer",2
"408","sstart","i","won't",1
"409","i","won't","get",1
"410","won't","get","to",1
"411","get","to","finish",1
"412","to","finish","my",1
"413","finish","my","game",1
"414","my","game","qquestion",1
"415","sstart","sstart","or",1
"416","sstart","or","it's",1
"417","or","it's","just",1
"418","it's","just","the",1
"419","just","the","celestial",1
"420","the","celestial","lights",1
"421","celestial","lights","pperiod",1
"422","lights","pperiod","we've",1
"423","pperiod","we've","been",1
"424","we've","been","down",1
"425","been","down","this",1
"426","down","this","road",1
"427","this","road","before",1
"428","road","before","ccomma",1
"429","before","ccomma","prince",1
"430","zuko","pperiod","i",1
"431","i","don't","want",1
"432","don't","want","you",1
"433","want","you","to",1
"434","you","to","get",1
"435","to","get","too",1
"436","get","too","excited",1
"437","too","excited","over",1
"438","excited","over","nothing",1
"439","over","nothing","pperiod",1
"440","nothing","pperiod","please",1
"441","pperiod","please","ccomma",1
"442","please","ccomma","sit",1
"443","ccomma","sit","pperiod",1
"444","sit","pperiod","why",1
"445","don't","you","enjoy",1
"446","you","enjoy","a",1
"447","enjoy","a","cup",1
"448","a","cup","of",1
"449","cup","of","calming",1
"450","of","calming","jasmine",1
"451","calming","jasmine","tea",1
"452","jasmine","tea","qquestion",1
"453","sstart","i'm","going",1
"454","going","to","bed",1
"455","to","bed","now",1
"456","bed","now","pperiod",1
"457","now","pperiod","yep",1
"458","pperiod","yep","pperiod",1
"459","yep","pperiod","a",1
"460","rest","pperiod","prince",1
"461","pperiod","prince","zuko",1
"462","you","need","some",1
"463","need","some","sleep",1
"464","some","sleep","pperiod",1
"465","sleep","pperiod","even",1
"466","pperiod","even","if",1
"467","even","if","you're",1
"468","if","you're","right",1
"469","you're","right","and",1
"470","right","and","the",1
"471","the","avatar","is",1
"472","avatar","is","alive",1
"473","is","alive","ccomma",1
"474","alive","ccomma","you",1
"475","ccomma","you","won't",1
"476","you","won't","find",1
"477","won't","find","him",1
"478","find","him","pperiod",1
"479","him","pperiod","your",1
"480","pperiod","your","father",1
"481","your","father","ccomma",1
"482","father","ccomma","grandfather",1
"483","ccomma","grandfather","ccomma",1
"484","grandfather","ccomma","and",1
"485","ccomma","and","great",1
"486","and","great","ddash",1
"487","ddash","grandfather","all",1
"488","grandfather","all","tried",1
"489","all","tried","and",1
"490","tried","and","failed",1
"491","and","failed","pperiod",1
"492","failed","pperiod","eend",1
"493","sstart","sstart","again",1
"494","sstart","again","pperiod",1
"495","no","eexclamation","power",1
"496","eexclamation","power","in",1
"497","power","in","firebending",1
"498","in","firebending","comes",1
"499","firebending","comes","from",1
"500","comes","from","the",1
"501","from","the","breath",1
"502","the","breath","pperiod",1
"503","breath","pperiod","not",1
"504","pperiod","not","the",1
