"","w1","w2","w3","N"
"361","sstart","uh","ppause",4
"362","yarp","eexclamation","yarp",4
"363","the","north","pole",4
"364","about","it","pperiod",4
"365","let","go","of",4
"366","can't","believe","it",4
"367","i","don't","want",4
"368","don't","want","to",4
"369","with","me","pperiod",4
"370","yip","eexclamation","yip",4
"371","on","ccomma","boy",4
"372","sstart","hey","katara",4
"373","don't","worry","ccomma",4
"374","sstart","sstart","because",4
"375","be","pperiod","eend",4
"376","sstart","we","can",4
"377","in","the","world",4
"378","the","only","way",4
"379","ccomma","and","i",4
"380","sstart","sstart","yip",4
"381","sstart","there","it",4
"382","there","it","is",4
"383","sstart","what","is",4
"384","what","is","it",4
"385","know","pperiod","eend",4
"386","sstart","yeah","pperiod",4
"387","sstart","that's","the",4
"388","i'm","sorry","pperiod",4
"389","if","i","can't",4
"390","pperiod","katara","ccomma",4
"391","please","pperiod","eend",4
"392","sstart","but","i'm",4
"393","i","wanted","to",4
"394","sstart","i'm","sure",4
"395","ccomma","did","you",4
"396","life","pperiod","eend",4
"397","sstart","sstart","excuse",4
"398","sstart","excuse","me",4
"399","know","ccomma","i",4
"400","so","ccomma","what",4
"401","supposed","to","do",4
"402","ccomma","this","is",4
"403","down","pperiod","eend",4
"404","sstart","sorry","eexclamation",4
"405","pperiod","so","ccomma",4
"406","momo","ccomma","i",4
"407","i","need","you",4
"408","sstart","sstart","go",4
"409","now","eexclamation","eend",4
"410","him","eexclamation","eend",4
"411","pperiod","i'm","ready",4
"412","sstart","sstart","can",4
"413","back","to","the",4
"414","sstart","let's","go",4
"415","stuff","pperiod","eend",4
"416","sstart","i","wish",4
"417","to","make","a",4
"418","look","at","the",4
"419","don't","know","how",4
"420","sstart","no","pperiod",4
"421","sstart","ow","eexclamation",4
"422","sstart","right","ppause",4
"423","have","to","try",4
"424","where","are","you",4
"425","pperiod","well","ccomma",4
"426","excuse","me","ccomma",4
"427","sokka","eexclamation","eend",4
"428","eexclamation","eexclamation","eend",4
"429","i'm","in","the",4
"430","in","the","spirit",4
"431","to","do","pperiod",4
"432","sstart","sstart","avatar",4
"433","i","talk","to",4
"434","talk","to","you",4
"435","me","pperiod","i",4
"436","for","me","to",4
"437","roku","qquestion","eend",4
"438","need","to","talk",4
"439","how","qquestion","eend",4
"440","sstart","sstart","did",4
"441","for","me","pperiod",4
"442","don't","know","what",4
"443","sstart","what","if",4
"444","sstart","i'm","ready",4
"445","i'm","ready","pperiod",4
"446","ready","pperiod","eend",4
"447","teacher","pperiod","eend",4
"448","sstart","uhh","ccomma",4
"449","ccomma","no","eexclamation",4
"450","no","eexclamation","eend",4
"451","sstart","sstart","he's",4
"452","sstart","look","ccomma",4
"453","chance","pperiod","eend",4
"454","time","pperiod","eend",4
"455","right","qquestion","eend",4
"456","ccomma","guys","ccomma",4
"457","one","of","those",4
"458","ccomma","we'll","be",4
"459","of","here","pperiod",4
