"","w1","w2","w3","N"
"355","pperiod","i've","been",2
"356","all","day","pperiod",2
"357","teach","me","the",2
"358","that","the","avatar",2
"359","is","the","last",2
"360","the","last","airbender",2
"361","last","airbender","pperiod",2
"362","a","hundred","years",2
"363","uncle","eexclamation","tell",2
"364","i","found","the",2
"365","sstart","sstart","ppause",2
"366","sstart","where","are",2
"367","sstart","you're","the",2
"368","qquestion","you're","the",2
"369","pperiod","you're","just",2
"370","you're","just","a",2
"371","the","avatar","to",2
"372","sstart","what","is",2
"373","i","want","the",2
"374","happened","pperiod","eend",2
"375","sstart","uh","ccomma",2
"376","sstart","sorry","ccomma",2
"377","sorry","ccomma","but",2
"378","we","have","to",2
"379","have","to","go",2
"380","to","go","pperiod",2
"381","rest","of","the",2
"382","you","said","pperiod",2
"383","come","on","ccomma",2
"384","on","ccomma","uncle",2
"385","going","pperiod","eend",2
"386","ccomma","i've","been",2
"387","i","ppause","eend",2
"388","ccomma","zhao","pperiod",2
"389","sstart","you're","wrong",2
"390","you're","wrong","pperiod",2
"391","rightful","place","on",2
"392","place","on","the",2
"393","on","the","throne",2
"394","the","throne","pperiod",2
"395","throne","pperiod","eend",2
"396","an","agni","kai",2
"397","agni","kai","pperiod",2
"398","sstart","i","will",2
"399","ccomma","i","promise",2
"400","sstart","did","you",2
"401","sstart","the","only",2
"402","uncle","ccomma","you",2
"403","you","taught","me",2
"404","have","to","say",2
"405","can","take","it",2
"406","sstart","sstart","give",2
"407","sstart","give","me",2
"408","give","me","the",2
"409","how","am","i",2
"410","qquestion","uncle","ccomma",2
"411","this","time","pperiod",2
"412","sstart","i","was",2
"413","was","going","to",2
"414","ccomma","avatar","eexclamation",2
"415","sstart","sstart","nice",2
"416","it's","time","to",2
"417","are","you","qquestion",2
"418","need","to","move",2
"419","to","move","on",2
"420","pperiod","it's","time",2
"421","to","go","eexclamation",2
"422","go","eexclamation","eend",2
"423","eexclamation","we","need",2
"424","sstart","sstart","on",2
"425","ccomma","why","don't",2
"426","sstart","sstart","something's",2
"427","sstart","something's","not",2
"428","something's","not","right",2
"429","sstart","sstart","yup",2
"430","sstart","yup","ccomma",2
"431","sstart","the","avatar",2
"432","avatar","eexclamation","eend",2
"433","sstart","i","have",2
"434","avatar","pperiod","my",2
"435","ahead","eexclamation","eend",2
"436","blockade","eexclamation","eend",2
"437","sstart","he's","not",2
"438","sorry","ccomma","uncle",2
"439","qquestion","why","didn't",2
"440","with","me","eexclamation",2
"441","sstart","sstart","close",2
"442","sstart","why","did",2
"443","why","did","you",2
"444","pperiod","the","avatar's",2
"445","sstart","sstart","someone's",2
"446","course","eexclamation","eend",2
"447","no","one","told",2
"448","sstart","sstart","is",2
"449","with","the","avatar",2
"450","lotus","tile","qquestion",2
"451","tile","qquestion","eend",2
"452","sstart","sstart","you've",2
"453","waste","of","time",2
"454","sstart","we","don't",2
"455","we","don't","need",2
"456","sstart","sstart","tell",2
"457","sstart","tell","me",2
"458","tell","me","where",2
"459","me","where","he",2
"460","where","he","is",2
"461","and","i","won't",2
"462","pperiod","my","honor",2
"463","i","wonder","how",2
"464","pperiod","now","you",2
"465","back","here","pperiod",2
"466","work","pperiod","eend",2
"467","sstart","sstart","you'll",2
"468","sstart","we","have",2
"469","we","have","no",2
"470","have","no","time",2
"471","no","time","for",2
"472","ccomma","uncle","eexclamation",2
"473","my","boat","eexclamation",2
"474","boat","eexclamation","eend",2
"475","sstart","come","on",2
"476","do","the","same",2
"477","finding","the","avatar",2
"478","safety","pperiod","eend",2
"479","don't","need","your",2
