"","w1","w2","w3","N"
"339","here","it","comes",2
"340","in","the","city",2
"341","great","pperiod","eend",2
"342","weird","pperiod","eend",2
"343","sstart","i","learned",2
"344","and","frankly","ccomma",2
"345","do","pperiod","eend",2
"346","for","us","pperiod",2
"347","sstart","sstart","i'd",2
"348","place","pperiod","eend",2
"349","feet","pperiod","eend",2
"350","well","ccomma","that",2
"351","pperiod","i'm","not",2
"352","a","good","one",2
"353","is","a","good",2
"354","one","qquestion","eend",2
"355","sstart","it's","ok",2
"356","it's","ok","pperiod",2
"357","look","like","pperiod",2
"358","i","know","who",2
"359","katara","pperiod","eend",2
"360","isn't","it","qquestion",2
"361","sing","se","pperiod",2
"362","sstart","sstart","try",2
"363","that","qquestion","eexclamation",2
"364","yeah","ccomma","i",2
"365","it","sounds","like",2
"366","guys","pperiod","eend",2
"367","do","you","think",2
"368","of","here","ccomma",2
"369","in","the","world",2
"370","him","down","pperiod",2
"371","ccomma","but","it's",2
"372","sstart","sstart","they",2
"373","doing","qquestion","eend",2
"374","the","fire","nation",2
"375","ccomma","did","you",2
"376","ppause","it's","your",2
"377","yeah","ccomma","we",2
"378","sstart","sstart","plus",2
"379","ccomma","we","got",2
"380","what","do","you",2
"381","i","think","you",2
"382","sstart","sstart","too",2
"383","sstart","too","bad",2
"384","lord","pperiod","eend",2
"385","sokka","ccomma","i",2
"386","going","on","qquestion",2
"387","ccomma","you've","seen",2
"388","pperiod","i","miss",2
"389","sstart","sstart","sweet",2
"390","sstart","sweet","pperiod",2
"391","do","you","really",2
"392","you","really","think",2
"393","ccomma","you're","all",2
"394","how","could","you",2
"395","could","you","do",2
"396","you","do","this",2
"397","do","this","to",2
"398","this","to","me",2
"399","to","me","qquestion",2
"400","me","qquestion","you",2
"401","qquestion","you","betrayed",2
"402","you","betrayed","me",2
"403","sstart","good","job",2
"404","good","job","ccomma",2
"405","ccomma","twinkle","ddash",2
"406","ddash","toes","pperiod",2
"407","we","can","get",2
"408","that","qquestion","eend",2
"409","ccomma","and","you",2
"410","i","mean","ccomma",2
"411","to","do","pperiod",2
"412","sheet","of","paper",2
"413","this","way","pperiod",2
"414","don't","know","eexclamation",2
"415","know","eexclamation","i",2
"416","sstart","sstart","where",2
"417","sstart","that's","a",2
"418","it's","not","pperiod",2
"419","pperiod","you","don't",2
"420","think","about","it",2
"421","well","ccomma","what",2
"422","katara","ccomma","you're",2
"423","let's","get","out",2
"424","under","the","mountain",2
"425","there","pperiod","eend",2
"426","this","is","the",2
"427","let's","go","pperiod",2
"428","sstart","sstart","go",2
"429","sstart","you","want",2
"430","taking","him","down",2
"431","know","what","i",2
"432","sweet","pperiod","eend",2
"433","twinkle","toes","pperiod",2
"434","we're","looking","for",2
"435","of","the","volcano",2
"436","the","volcano","pperiod",2
"437","volcano","pperiod","eend",2
"438","didn't","pperiod","it",2
"439","up","with","him",2
"440","sstart","sstart","because",2
"441","sstart","sstart","get",2
"442","get","off","me",2
"443","my","feet","got",2
"444","feet","got","burned",2
"445","got","burned","pperiod",2
"446","burned","pperiod","eend",2
"447","sstart","i","just",2
"448","pperiod","it","was",2
"449","ccomma","the","original",2
"450","when","i","was",2
"451","ccomma","i","ran",2
"452","meat","qquestion","eend",2
"453","wait","a","minute",2
"454","a","minute","ccomma",2
"455","sstart","you","have",2
"456","sstart","that's","how",2
"457","ran","away","again",2
"458","away","again","pperiod",2
"459","sstart","sstart","then",2
"460","come","back","qquestion",2
"461","back","qquestion","eend",2
"462","ccomma","i","think",2
"463","sstart","sstart","sounds",1
"464","sstart","sounds","to",1
"465","sounds","to","me",1
"466","to","me","like",1
"467","me","like","you're",1
"468","like","you're","scared",1
"469","you're","scared","ccomma",1
"470","scared","ccomma","boulder",1
"471","ccomma","boulder","pperiod",1
"472","boulder","pperiod","eend",1
"473","sstart","sstart","whenever",1
"474","sstart","whenever","you're",1
"475","whenever","you're","ready",1
"476","you're","ready","ppause",1
"477","ready","ppause","the",1
"478","ppause","the","pebble",1
"479","the","pebble","pperiod",1
"480","pebble","pperiod","ha",1
