"","w1","w2","w3","N"
"731","i","think","it",2
"732","think","it","was",2
"733","sstart","sstart","think",2
"734","sstart","think","about",2
"735","pperiod","you","don't",2
"736","ccomma","you","were",2
"737","all","this","pperiod",2
"738","come","on","pperiod",2
"739","this","place","is",2
"740","it","was","an",2
"741","you're","making","a",2
"742","sstart","aang","is",2
"743","ccomma","please","ccomma",2
"744","too","eexclamation","eend",2
"745","eexclamation","aang","is",2
"746","qquestion","this","is",2
"747","you","go","qquestion",2
"748","ccomma","get","out",2
"749","way","eexclamation","eend",2
"750","sstart","why","can't",2
"751","you","don't","like",2
"752","aang","ccomma","but",2
"753","sstart","appa","eexclamation",2
"754","appa","eexclamation","eend",2
"755","sstart","please","ccomma",2
"756","pperiod","don't","you",2
"757","did","it","ccomma",2
"758","sstart","sstart","did",2
"759","eexclamation","are","you",2
"760","are","you","okay",2
"761","you","okay","qquestion",2
"762","sstart","sstart","hurry",2
"763","do","that","qquestion",2
"764","it","was","the",2
"765","why","didn't","you",2
"766","didn't","you","tell",2
"767","you","tell","us",2
"768","tell","us","you",2
"769","us","you","were",2
"770","avatar","qquestion","eend",2
"771","sstart","but","aang",2
"772","aang","ccomma","the",2
"773","for","the","avatar",2
"774","well","ccomma","if",2
"775","it's","just","that",2
"776","before","we","get",2
"777","to","talk","to",2
"778","talk","to","you",2
"779","airbenders","pperiod","eend",2
"780","for","what","you",2
"781","fire","nation","is",2
"782","one","of","the",2
"783","sstart","sstart","fire",2
"784","aang","ccomma","there's",2
"785","sstart","i","can",2
"786","that","the","fire",2
"787","miss","him","pperiod",2
"788","sstart","where","are",2
"789","point","pperiod","eend",2
"790","these","people","qquestion",2
"791","people","qquestion","eend",2
"792","sstart","and","this",2
"793","a","waterbender","pperiod",2
"794","up","in","a",2
"795","fire","pperiod","eend",2
"796","of","course","eexclamation",2
"797","out","of","it",2
"798","how","do","you",2
"799","i'm","gonna","try",2
"800","sstart","ppause","and",2
"801","i","lost","my",2
"802","the","other","airbenders",2
"803","but","you","still",2
"804","you","still","have",2
"805","still","have","a",2
"806","pperiod","sokka","and",2
"807","sokka","and","i",2
"808","your","fault","pperiod",2
"809","sstart","sstart","everything's",2
"810","ready","to","go",2
"811","find","a","way",2
"812","a","way","pperiod",2
"813","you","going","to",2
"814","that's","great","ccomma",2
"815","that's","great","eexclamation",2
"816","great","eexclamation","eend",2
"817","sstart","what","does",2
"818","eexclamation","and","look",2
"819","out","there","pperiod",2
"820","ccomma","appa","eexclamation",2
"821","that","eexclamation","eend",2
"822","sstart","get","out",2
"823","there","eexclamation","eend",2
"824","what","was","that",2
"825","sstart","sstart","uhh",2
"826","sstart","uhh","ppause",2
"827","sometimes","pperiod","eend",2
"828","bunch","of","girls",2
"829","pperiod","and","then",2
"830","for","us","to",2
"831","go","to","your",2
"832","to","your","head",2
"833","your","head","pperiod",2
"834","head","pperiod","eend",2
"835","you","help","me",2
"836","you","mean","you",2
"837","ccomma","we","have",2
"838","soon","pperiod","eend",2
"839","of","what","qquestion",2
"840","ridiculous","pperiod","eend",2
"841","good","for","you",2
"842","great","pperiod","eend",2
"843","you","know","pperiod",2
"844","sstart","i","wanted",2
"845","to","make","sure",2
"846","pperiod","you","really",2
"847","worried","pperiod","eend",2
"848","i","know","it",2
"849","only","way","pperiod",2
"850","if","we","had",2
"851","they're","going","to",2
"852","to","be","okay",2
"853","okay","ccomma","aang",2
"854","doing","qquestion","eexclamation",2
"855","pperiod","we","don't",2
"856","we","don't","have",2
"857","wait","ccomma","aang",2
